s,betax,alphax,psix,etax,etaxp,xAperture,betay,alphay,psiy,etay,etayp,yAperture,pCentral0,ElementName,ElementOccurence,ElementType,ChamberShape
6.2460999999999203e+00,4.0076890100604253e+01,7.1046674071469038e+00,4.6312450083857142e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+01,1.0438519616874991e+02,2.3711149862433621e+02,3.2796190499164979e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+01,1.1350314421322028e+02,       Q19,    79,      QUAD,               ?
6.2472999999999201e+00,4.0058155092481321e+01,8.5076204059813421e+00,4.6312749576199224e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+01,1.0382128008622179e+02,2.3282516059757882e+02,3.2796305770585708e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+01,1.1350314421322028e+02,       Q19,    80,      QUAD,               ?
6.2484999999999200e+00,4.0036054668059386e+01,9.9091416580461669e+00,4.6313049221238449e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+01,1.0326760405147580e+02,2.2857800579782722e+02,3.2796421664078363e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+01,1.1350314421322028e+02,       Q19,    81,      QUAD,               ?
6.2496999999999199e+00,4.0010592546617126e+01,1.1308995301440000e+01,4.6313349044326122e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+01,1.0272407488380199e+02,2.2436931945168567e+02,3.2796538174861540e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+01,1.1350314421322028e+02,       Q19,    82,      QUAD,               ?
6.2508999999999197e+00,3.9981773013172962e+01,1.2706945754903186e+01,4.6313649070873675e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+01,1.0219060111015379e+02,2.2019839325979311e+02,3.2796655297998329e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+01,1.1350314421322028e+02,       Q19,    83,      QUAD,               ?
6.2520999999999196e+00,3.9949600917763910e+01,1.4102757757463765e+01,4.6313949326361294e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+01,1.0166709294975354e+02,2.1606452527762008e+02,3.2796773028396196e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+01,1.1350314421322028e+02,       Q19,    84,      QUAD,               ?
6.2532999999999195e+00,3.9914081674629379e+01,1.5496196408029505e+01,4.6314249836346635e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+01,1.0115346229898290e+02,2.1196701979733524e+02,3.2796891360806950e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+01,1.1350314421322028e+02,       Q19,    85,      QUAD,               ?
6.2544999999999193e+00,3.9875221261300005e+01,1.6887027204919391e+01,4.6314550626473574e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+01,1.0064962271655550e+02,2.0790518723072151e+02,3.2797010289826760e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+01,1.1350314421322028e+02,       Q19,    86,      QUAD,               ?
6.2556999999999192e+00,3.9833026217591701e+01,1.8275016085327909e+01,4.6314851722480999e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+01,1.0015548940896927e+02,2.0387834399312200e+02,3.2797129809896264e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+01,1.1350314421322028e+02,       Q19,    87,      QUAD,               ?
6.2568999999999191e+00,3.9787503644505051e+01,1.9659929464715432e+01,4.6315153150211712e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+01,9.9670979216236219e+01,1.9988581238839646e+02,3.2797249915300752e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+01,1.1350314421322028e+02,       Q19,    88,      QUAD,               ?
